year,STATE,ZIP,Prov
12-31-2003,AK,99501,*
12-31-2003,AK,99502,*
12-31-2003,AK,99503,*
12-31-2003,AK,99504,4
12-31-2003,AK,99505,*
12-31-2003,AK,99506,*
12-31-2003,AK,99507,*
12-31-2003,AK,99508,*
12-31-2003,AK,99515,4
12-31-2003,AK,99516,*
12-31-2003,AK,99517,*
12-31-2003,AK,99518,*
12-31-2003,AK,99546,*
12-31-2003,AK,99547,*
12-31-2003,AK,99549,*
12-31-2003,AK,99551,*
12-31-2003,AK,99552,*
12-31-2003,AK,99553,*
12-31-2003,AK,99554,*
12-31-2003,AK,99555,*
12-31-2003,AK,99556,*
12-31-2003,AK,99557,*
12-31-2003,AK,99558,*
12-31-2003,AK,99559,*
12-31-2003,AK,99561,*
12-31-2003,AK,99563,*
12-31-2003,AK,99564,*
12-31-2003,AK,99565,*
12-31-2003,AK,99567,*
12-31-2003,AK,99568,*
12-31-2003,AK,99569,*
12-31-2003,AK,99571,*
12-31-2003,AK,99572,*
12-31-2003,AK,99573,*
12-31-2003,AK,99574,*
12-31-2003,AK,99575,*
12-31-2003,AK,99576,*
12-31-2003,AK,99577,*
12-31-2003,AK,99578,*
12-31-2003,AK,99579,*
12-31-2003,AK,99580,*
12-31-2003,AK,99581,*
12-31-2003,AK,99583,*
12-31-2003,AK,99585,*
12-31-2003,AK,99586,*
12-31-2003,AK,99587,*
12-31-2003,AK,99588,*
12-31-2003,AK,99589,*
12-31-2003,AK,99590,*
12-31-2003,AK,99591,*
12-31-2003,AK,99602,*
12-31-2003,AK,99603,4
12-31-2003,AK,99604,*
12-31-2003,AK,99606,*
12-31-2003,AK,99607,*
12-31-2003,AK,99610,*
12-31-2003,AK,99611,*
12-31-2003,AK,99612,*
12-31-2003,AK,99613,*
12-31-2003,AK,99614,*
12-31-2003,AK,99615,*
12-31-2003,AK,99620,*
12-31-2003,AK,99621,*
12-31-2003,AK,99622,*
12-31-2003,AK,99625,*
12-31-2003,AK,99626,*
12-31-2003,AK,99627,*
12-31-2003,AK,99628,*
12-31-2003,AK,99630,*
12-31-2003,AK,99631,*
12-31-2003,AK,99632,*
12-31-2003,AK,99633,*
12-31-2003,AK,99636,*
12-31-2003,AK,99638,*
12-31-2003,AK,99639,*
12-31-2003,AK,99640,*
12-31-2003,AK,99645,*
12-31-2003,AK,99647,*
12-31-2003,AK,99648,*
12-31-2003,AK,99649,*
12-31-2003,AK,99650,*
12-31-2003,AK,99651,*
12-31-2003,AK,99653,*
12-31-2003,AK,99654,*
12-31-2003,AK,99655,*
12-31-2003,AK,99656,*
12-31-2003,AK,99657,*
12-31-2003,AK,99658,*
12-31-2003,AK,99659,*
12-31-2003,AK,99660,*
12-31-2003,AK,99661,*
12-31-2003,AK,99662,*
12-31-2003,AK,99664,*
12-31-2003,AK,99665,*
12-31-2003,AK,99667,*
12-31-2003,AK,99668,*
12-31-2003,AK,99669,*
12-31-2003,AK,99670,*
12-31-2003,AK,99671,*
12-31-2003,AK,99672,*
12-31-2003,AK,99676,*
12-31-2003,AK,99681,*
12-31-2003,AK,99682,*
12-31-2003,AK,99683,*
12-31-2003,AK,99684,*
12-31-2003,AK,99685,*
12-31-2003,AK,99686,*
12-31-2003,AK,99687,*
12-31-2003,AK,99688,*
12-31-2003,AK,99689,*
12-31-2003,AK,99691,*
12-31-2003,AK,99692,*
12-31-2003,AK,99701,*
12-31-2003,AK,99702,*
12-31-2003,AK,99703,*
12-31-2003,AK,99705,*
12-31-2003,AK,99709,*
12-31-2003,AK,99712,*
12-31-2003,AK,99714,*
12-31-2003,AK,99720,*
12-31-2003,AK,99721,*
12-31-2003,AK,99722,*
12-31-2003,AK,99723,*
12-31-2003,AK,99724,*
12-31-2003,AK,99726,*
12-31-2003,AK,99727,*
12-31-2003,AK,99729,*
12-31-2003,AK,99730,*
12-31-2003,AK,99733,*
12-31-2003,AK,99734,*
12-31-2003,AK,99736,*
12-31-2003,AK,99737,*
12-31-2003,AK,99739,*
12-31-2003,AK,99740,*
12-31-2003,AK,99741,*
12-31-2003,AK,99742,*
12-31-2003,AK,99743,*
12-31-2003,AK,99744,*
12-31-2003,AK,99745,*
12-31-2003,AK,99746,*
12-31-2003,AK,99747,*
12-31-2003,AK,99748,*
12-31-2003,AK,99749,*
12-31-2003,AK,99750,*
12-31-2003,AK,99751,*
12-31-2003,AK,99752,*
12-31-2003,AK,99753,*
12-31-2003,AK,99755,*
12-31-2003,AK,99756,*
12-31-2003,AK,99757,*
12-31-2003,AK,99758,*
12-31-2003,AK,99759,*
12-31-2003,AK,99760,*
12-31-2003,AK,99761,*
12-31-2003,AK,99762,*
12-31-2003,AK,99763,*
12-31-2003,AK,99765,*
12-31-2003,AK,99766,*
12-31-2003,AK,99767,*
12-31-2003,AK,99768,*
12-31-2003,AK,99769,*
12-31-2003,AK,99770,*
12-31-2003,AK,99771,*
12-31-2003,AK,99772,*
12-31-2003,AK,99773,*
12-31-2003,AK,99774,*
12-31-2003,AK,99777,*
12-31-2003,AK,99778,*
12-31-2003,AK,99780,*
12-31-2003,AK,99781,*
12-31-2003,AK,99782,*
12-31-2003,AK,99783,*
12-31-2003,AK,99784,*
12-31-2003,AK,99785,*
12-31-2003,AK,99786,*
12-31-2003,AK,99788,*
12-31-2003,AK,99789,*
12-31-2003,AK,99801,*
12-31-2003,AK,99820,*
12-31-2003,AK,99824,*
12-31-2003,AK,99826,*
12-31-2003,AK,99827,*
12-31-2003,AK,99829,*
12-31-2003,AK,99833,*
12-31-2003,AK,99835,*
12-31-2003,AK,99840,*
12-31-2003,AK,99901,*
12-31-2003,AK,99903,*
12-31-2003,AK,99919,*
12-31-2003,AK,99921,*
12-31-2003,AK,99922,*
12-31-2003,AK,99923,*
12-31-2003,AK,99925,*
12-31-2003,AK,99926,*
12-31-2003,AK,99929,*
12-31-2003,AK,99950,*
12-31-2003,AL,35004,4
12-31-2003,AL,35005,5
12-31-2003,AL,35006,4
12-31-2003,AL,35007,8
12-31-2003,AL,35010,5
12-31-2003,AL,35014,*
12-31-2003,AL,35016,4
12-31-2003,AL,35019,*
12-31-2003,AL,35020,9
12-31-2003,AL,35022,7
12-31-2003,AL,35023,10
12-31-2003,AL,35031,*
12-31-2003,AL,35033,*
12-31-2003,AL,35034,*
12-31-2003,AL,35035,*
12-31-2003,AL,35036,*
12-31-2003,AL,35040,5
12-31-2003,AL,35042,4
12-31-2003,AL,35043,5
12-31-2003,AL,35044,5
12-31-2003,AL,35045,5
12-31-2003,AL,35046,4
12-31-2003,AL,35049,*
12-31-2003,AL,35051,5
12-31-2003,AL,35053,*
12-31-2003,AL,35054,*
12-31-2003,AL,35055,5
12-31-2003,AL,35057,4
12-31-2003,AL,35058,5
12-31-2003,AL,35061,5
12-31-2003,AL,35062,5
12-31-2003,AL,35063,4
12-31-2003,AL,35064,5
12-31-2003,AL,35068,6
12-31-2003,AL,35071,5
12-31-2003,AL,35072,4
12-31-2003,AL,35073,5
12-31-2003,AL,35077,5
12-31-2003,AL,35078,4
12-31-2003,AL,35079,*
12-31-2003,AL,35080,7
12-31-2003,AL,35083,*
12-31-2003,AL,35085,5
12-31-2003,AL,35087,*
12-31-2003,AL,35089,*
12-31-2003,AL,35091,*
12-31-2003,AL,35094,4
12-31-2003,AL,35096,4
12-31-2003,AL,35098,*
12-31-2003,AL,35111,5
12-31-2003,AL,35114,5
12-31-2003,AL,35115,5
12-31-2003,AL,35116,*
12-31-2003,AL,35117,4
12-31-2003,AL,35118,4
12-31-2003,AL,35120,*
12-31-2003,AL,35121,4
12-31-2003,AL,35124,7
12-31-2003,AL,35125,*
12-31-2003,AL,35126,6
12-31-2003,AL,35127,4
12-31-2003,AL,35128,4
12-31-2003,AL,35130,4
12-31-2003,AL,35131,*
12-31-2003,AL,35133,4
12-31-2003,AL,35135,*
12-31-2003,AL,35136,4
12-31-2003,AL,35143,*
12-31-2003,AL,35146,5
12-31-2003,AL,35147,4
12-31-2003,AL,35148,4
12-31-2003,AL,35150,5
12-31-2003,AL,35151,4
12-31-2003,AL,35160,6
12-31-2003,AL,35171,*
12-31-2003,AL,35172,5
12-31-2003,AL,35173,7
12-31-2003,AL,35175,*
12-31-2003,AL,35176,*
12-31-2003,AL,35178,*
12-31-2003,AL,35179,4
12-31-2003,AL,35180,4
12-31-2003,AL,35183,*
12-31-2003,AL,35184,*
12-31-2003,AL,35186,4
12-31-2003,AL,35188,*
12-31-2003,AL,35203,7
12-31-2003,AL,35204,6
12-31-2003,AL,35205,7
12-31-2003,AL,35206,7
12-31-2003,AL,35207,5
12-31-2003,AL,35208,6
12-31-2003,AL,35209,8
12-31-2003,AL,35210,9
12-31-2003,AL,35211,5
12-31-2003,AL,35212,6
12-31-2003,AL,35213,8
12-31-2003,AL,35214,9
12-31-2003,AL,35215,8
12-31-2003,AL,35216,6
12-31-2003,AL,35217,6
12-31-2003,AL,35218,4
12-31-2003,AL,35221,*
12-31-2003,AL,35222,5
12-31-2003,AL,35223,7
12-31-2003,AL,35224,4
12-31-2003,AL,35226,8
12-31-2003,AL,35228,6
12-31-2003,AL,35233,6
12-31-2003,AL,35234,5
12-31-2003,AL,35235,6
12-31-2003,AL,35242,9
12-31-2003,AL,35243,8
12-31-2003,AL,35244,8
12-31-2003,AL,35401,7
12-31-2003,AL,35404,7
12-31-2003,AL,35405,6
12-31-2003,AL,35406,6
12-31-2003,AL,35441,*
12-31-2003,AL,35442,4
12-31-2003,AL,35444,6
12-31-2003,AL,35446,*
12-31-2003,AL,35447,*
12-31-2003,AL,35452,4
12-31-2003,AL,35453,6
12-31-2003,AL,35456,4
12-31-2003,AL,35457,*
12-31-2003,AL,35458,*
12-31-2003,AL,35460,*
12-31-2003,AL,35461,*
12-31-2003,AL,35462,*
12-31-2003,AL,35463,*
12-31-2003,AL,35464,*
12-31-2003,AL,35466,4
12-31-2003,AL,35469,*
12-31-2003,AL,35470,*
12-31-2003,AL,35473,6
12-31-2003,AL,35474,*
12-31-2003,AL,35475,5
12-31-2003,AL,35476,8
12-31-2003,AL,35480,*
12-31-2003,AL,35481,*
12-31-2003,AL,35487,*
12-31-2003,AL,35490,6
12-31-2003,AL,35501,6
12-31-2003,AL,35503,*
12-31-2003,AL,35504,5
12-31-2003,AL,35540,*
12-31-2003,AL,35541,*
12-31-2003,AL,35542,*
12-31-2003,AL,35546,*
12-31-2003,AL,35548,*
12-31-2003,AL,35549,*
12-31-2003,AL,35550,4
12-31-2003,AL,35552,*
12-31-2003,AL,35553,*
12-31-2003,AL,35554,*
12-31-2003,AL,35555,*
12-31-2003,AL,35563,4
12-31-2003,AL,35564,*
12-31-2003,AL,35565,*
12-31-2003,AL,35570,4
12-31-2003,AL,35572,*
12-31-2003,AL,35576,*
12-31-2003,AL,35578,*
12-31-2003,AL,35579,*
12-31-2003,AL,35580,*
12-31-2003,AL,35581,*
12-31-2003,AL,35582,*
12-31-2003,AL,35585,*
12-31-2003,AL,35586,*
12-31-2003,AL,35587,*
12-31-2003,AL,35592,4
12-31-2003,AL,35593,*
12-31-2003,AL,35594,4
12-31-2003,AL,35601,6
12-31-2003,AL,35603,4
12-31-2003,AL,35610,*
12-31-2003,AL,35611,5
12-31-2003,AL,35613,5
12-31-2003,AL,35614,*
12-31-2003,AL,35616,*
12-31-2003,AL,35618,*
12-31-2003,AL,35619,4
12-31-2003,AL,35620,4
12-31-2003,AL,35621,*
12-31-2003,AL,35622,*
12-31-2003,AL,35630,5
